Wavenumber,Intensity
648.5568,68.238484
652.2841,70.187456
656.0115,72.399298
659.7388,74.723869
663.4661,76.688402
667.1935,78.154752
670.9208,79.087828
674.6481,79.716719
678.3755,80.279252
682.1028,80.819956
685.8302,81.188896
689.5575,81.478355
693.2848,81.763878
697.0122,82.243512
700.7395,82.701281
704.4669,82.987859
708.1942,83.323758
711.9215,83.733786
715.6489,84.108922
719.3762,84.487425
723.1035,84.935607
726.8309,85.535526
730.5582,86.071716
734.2856,86.349934
738.0129,86.519906
741.7402,86.749952
745.4676,86.998419
749.1949,87.145353
752.9222,87.320838
756.6496,87.551556
760.3769,87.707433
764.1043,87.830153
767.8316,87.945235
771.5589,88.023047
775.2863,88.081286
779.0136,87.999957
782.7409,87.870640
786.4683,87.815800
790.1956,87.842575
793.9230,87.781707
797.6503,87.662242
801.3776,87.575820
805.1050,87.446541
808.8323,87.202396
812.5596,86.957480
816.2870,86.637689
820.0143,85.570348
823.7417,84.006751
827.4690,84.190422
831.1963,85.317388
834.9237,85.538114
838.6510,85.269520
842.3784,84.891407
846.1057,84.414572
849.8330,83.816169
853.5604,83.193901
857.2877,82.651293
861.0150,82.233823
864.7424,81.890782
868.4697,81.452901
872.1971,80.848603
875.9244,80.158147
879.6517,79.460092
883.3791,78.888033
887.1064,78.495206
890.8337,78.195230
894.5611,77.903545
898.2884,77.626350
902.0158,77.370476
905.7431,77.151715
909.4704,76.997840
913.1978,76.912501
916.9251,76.903073
920.6524,76.946928
924.3798,77.067079
928.1071,77.216536
931.8345,77.357677
935.5618,77.540313
939.2891,77.762513
943.0165,77.975036
946.7438,78.191206
950.4711,78.404176
954.1985,78.631624
957.9258,78.881105
961.6532,79.118416
965.3805,79.334861
969.1078,79.571649
972.8352,79.807865
976.5625,80.042827
980.2899,80.279334
984.0172,80.507579
987.7445,80.748122
991.4719,81.012018
995.1992,81.275380
998.9265,81.578638
1002.6539,81.912088
1006.3812,82.241203
1010.1086,82.587076
1013.8359,82.978139
1017.5632,83.372500
1021.2906,83.754075
1025.0179,84.154480
1028.7452,84.581861
1032.4726,84.989454
1036.1999,85.381875
1039.9273,85.781736
1043.6546,86.182680
1047.3819,86.551166
1051.1093,86.913660
1054.8366,87.298763
1058.5639,87.712018
1062.2913,88.199838
1066.0186,88.743108
1069.7460,89.272228
1073.4733,89.741012
1077.2006,90.152725
1080.9280,90.543094
1084.6553,90.915158
1088.3826,91.261209
1092.1100,91.572770
1095.8373,91.845000
1099.5647,92.075508
1103.2920,92.286566
1107.0193,92.473486
1110.7467,92.620811
1114.4740,92.754793
1118.2014,92.868710
1121.9287,92.948515
1125.6560,93.022245
1129.3834,93.085163
1133.1107,93.132410
1136.8380,93.164326
1140.5654,93.171170
1144.2927,93.162819
1148.0201,93.152200
1151.7474,93.123004
1155.4747,93.077009
1159.2021,93.025361
1162.9294,92.997315
1166.6567,92.984779
1170.3841,92.966908
1174.1114,92.943974
1177.8388,92.921899
1181.5661,92.885239
1185.2934,92.835052
1189.0208,92.771297
1192.7481,92.696535
1196.4754,92.610845
1200.2028,92.528895
1203.9301,92.444898
1207.6575,92.338333
1211.3848,92.220107
1215.1121,92.100731
1218.8395,91.983329
1222.5668,91.851842
1226.2941,91.705551
1230.0215,91.562184
1233.7488,91.401407
1237.4762,91.230711
1241.2035,91.058745
1244.9308,90.885485
1248.6582,90.721149
1252.3855,90.556065
1256.1129,90.358851
1259.8402,90.123701
1263.5675,89.871666
1267.2949,89.599353
1271.0222,89.289107
1274.7495,88.983359
1278.4769,88.649861
1282.2042,88.271049
1285.9316,87.839509
1289.6589,87.348368
1293.3862,86.818925
1297.1136,86.245643
1300.8409,85.614882
1304.5682,84.921551
1308.2956,84.151882
1312.0229,83.320762
1315.7503,82.405244
1319.4776,81.389236
1323.2049,80.362419
1326.9323,79.332492
1330.6596,78.230679
1334.3869,77.236202
1338.1143,75.997889
1341.8416,74.547995
1345.5690,73.544040
1349.2963,72.608320
1353.0236,71.578543
1356.7510,70.856676
1360.4783,70.247568
1364.2056,69.515066
1367.9330,69.300916
1371.6603,69.332170
1375.3877,69.229656
1379.1150,69.625038
1382.8423,70.517823
1386.5697,71.310206
1390.2970,72.130280
1394.0244,72.957294
1397.7517,73.537169
1401.4790,74.265124
1405.2064,75.046103
1408.9337,75.800783
1412.6610,76.632783
1416.3884,77.338214
1420.1157,77.584981
1423.8431,78.116362
1427.5704,78.844937
1431.2977,79.460916
1435.0251,79.879078
1438.7524,80.465953
1442.4797,81.462842
1446.2071,82.337130
1449.9344,83.219820
1453.6618,84.106285
1457.3891,84.343415
1461.1164,84.839796
1464.8438,85.658103
1468.5711,86.494983
1472.2984,86.867369
1476.0258,86.937007
1479.7531,87.461458
1483.4805,88.108658
1487.2078,88.366563
1490.9351,88.318993
1494.6625,88.538947
1498.3898,88.575924
1502.1171,88.971525
1505.8445,89.004102
1509.5718,88.225655
1513.2992,88.537366
1517.0265,88.917583
1520.7538,88.630073
1524.4812,88.160910
1528.2085,88.362414
1531.9359,88.659183
1535.6632,88.984301
1539.3905,88.947421
1543.1179,88.187790
1546.8452,88.498743
1550.5725,89.132430
1554.2999,89.691942
1558.0272,89.424024
1561.7546,88.905228
1565.4819,89.571660
1569.2092,89.962513
1572.9366,90.151246
1576.6639,90.088219
1580.3912,90.199284
1584.1186,90.529462
1587.8459,90.751957
1591.5733,90.855358
1595.3006,90.937051
1599.0279,91.020396
1602.7553,91.137076
1606.4826,91.187284
1610.2099,91.278968
1613.9373,91.300441
1617.6646,90.979932
1621.3920,90.782930
1625.1193,90.589432
1628.8466,90.509468
1632.5740,90.637215
1636.3013,90.019906
1640.0286,89.808590
1643.7560,90.225577
1647.4833,90.314393
1651.2107,90.011077
1654.9380,89.418423
